mem_id,instance_id,db,scope,sql_operations,table,column,data_type,nulls,rule
44,sf_bq166,TCGA_MITELMAN,db,join;left join;filter,TCGA_MITELMAN.TCGA_VERSIONED.COPY_NUMBER_SEGMENT_ALLELIC_HG38_GDC_R23,TCGA_MITELMAN.TCGA_VERSIONED.COPY_NUMBER_SEGMENT_ALLELIC_HG38_GDC_R23.chromosome,str,all,"ENSURE: when joining segments to cytobands, use a LEFT JOIN with precise overlap conditions on chromosome, hg38_start, and hg38_stop fields | CONTEXT: The segments table and cytoband table are joined to identify which segments overlap which cytobands. Using the correct JOIN and overlap logic prevents missing segments without a matching cytoband and avoids false matches | WHEN_TO_CHECK: When correlating segments to cytobands to assign segment data (e.g., copy_number) to cytoband regions | EXAMPLE_USAGE: When joining segments and cytobands, verify the SQL uses 'LEFT JOIN cytoband ON segments.chromosome = cytoband.chromosome AND segments.hg38_start <= cytoband.hg38_stop AND segments.hg38_stop >= cytoband.hg38_start', not just INNER JOIN or only chromosome equality. Missing the LEFT JOIN or overlap conditions (i.e., only joining on chromosome) omits segments not matching any cytoband and can cause inaccurate aggregation."
45,sf_bq166,TCGA_MITELMAN,db,aggregation;group by;max,joined,joined.chromosome,str,all,"ENSURE: cytoband-related aggregation uses GROUP BY on chromosome, cytoband_name, hg38_start, hg38_stop, and case_barcode | CONTEXT: To accurately compute the maximum copy number or frequency per cytoband for each case, grouping on all these fields is necessary | WHEN_TO_CHECK: When aggregating segment/variant data at the cytoband level for reporting statistics | EXAMPLE_USAGE: When building a CTE to aggregate values, use 'GROUP BY chromosome, cytoband_name, hg38_start, hg38_stop, case_barcode'. Omitting any of these fields groups data incorrectly and skews counts or max values; for example, 'GROUP BY chromosome, cytoband_name' would collapse distinct cytoband locations together and distort output."
46,sf_bq167,META_KAGGLE,generic,aggregation;count;count distinct,all,all,all,all,"CHECK: the aggregation column in COUNT(DISTINCT ...) matches the actual entity being counted, not just a related or grouping field | PRINCIPLE: Aggregations should operate on the true unique identifier of the records of interest, rather than on group-level or foreign keys that may mask additional distinct records | WHEN_TO_APPLY: Whenever using COUNT(DISTINCT ...) to deduplicate or count records in any table, especially when tables have both unique primary keys and foreign/group keys | EXAMPLE_USAGE: If counting votes, verify 'COUNT(DISTINCT vote_id)' counts individual vote records. Counting 'COUNT(DISTINCT message_id)' only gives the unique messages, not vote records, so if multiple votes exist per message, results will be incorrect. Correct: 'SELECT COUNT(DISTINCT vote_id) FROM votes_table'; Incorrect: 'SELECT COUNT(DISTINCT message_id) FROM votes_table'."
47,sf_bq167,META_KAGGLE,db,aggregation;count;count distinct;group by,FORUMMESSAGEVOTES,FORUMMESSAGEVOTES.Id,int,No,"ENSURE: when counting unique votes in the FORUMMESSAGEVOTES table, use COUNT(DISTINCT ""Id"") instead of COUNT(DISTINCT ""ForumMessageId"") | CONTEXT: The ""Id"" column in FORUMMESSAGEVOTES represents each vote record, while ""ForumMessageId"" groups votes by message. Counting distinct ""Id"" ensures the correct total number of votes, avoiding undercounting if multiple votes exist per message. | WHEN_TO_CHECK: When aggregating total votes or deduplicating vote records in queries involving FORUMMESSAGEVOTES | EXAMPLE_USAGE: For capturing the total number of votes: 'SELECT COUNT(DISTINCT ""Id"") FROM FORUMMESSAGEVOTES' is correct. Using 'SELECT COUNT(DISTINCT ""ForumMessageId"") FROM FORUMMESSAGEVOTES' only counts the number of messages that received votes, not the total vote records, leading to an inaccurate count."
48,sf_bq167,all,generic,distinct;select;limit;order by,all,all,all,all,"CHECK: When the question explicitly asks for ""the top-ranked [singular entity]"" (e.g., ""the top-ranked city"", ""the highest-rated term"", ""the most popular item""), use DISTINCT to ensure only one result is returned, even if multiple rows exist with the same ranking value | PRINCIPLE: Questions phrased in singular form (""the city"" not ""cities"") expect a unique result; without DISTINCT, queries may return duplicate entities if the underlying data has multiple rows with the same top value across different grouping dimensions (e.g., same city appearing in multiple DMAs or time periods) | WHEN_TO_APPLY: When the question uses singular phrasing for top N queries (especially when N=1), and the source data may contain duplicates of the same entity across different dimensions | EXAMPLE_USAGE: For ""What is the top-ranked rising term?"", use 'SELECT DISTINCT term FROM table ORDER BY rank LIMIT 1'; without DISTINCT, if ""bitcoin"" is the top term in 3 different DMAs, it would return 3 rows of ""bitcoin"". Correct: 'SELECT DISTINCT term FROM ... ORDER BY score DESC LIMIT 1'; Incorrect: 'SELECT term FROM ... ORDER BY score DESC LIMIT 1' (may return duplicates)"
49,sf_bq176,TCGA_MITELMAN,generic,select,all,all,all,all,"VERIFY: the SELECT clause returns exactly and only the columns required by the expected output | PRINCIPLE: Result set column count and order must match the specification or GOLD result; extra columns (even if valid) lead to mismatched outputs | WHEN_TO_APPLY: When writing or validating queries against expected outputs, especially in competitive or testing environments | EXAMPLE_USAGE: If the expected output is one column SELECT field1 FROM ..., including additional fields (e.g., SELECT field1, field2 FROM ...) is incorrect; final SELECT must only include field1 to align with requirements."
50,sf_bq176,TCGA_MITELMAN,db,select,all,case_barcode,str,all,"ENSURE: only case_barcode is included in the SELECT clause when output must match GOLD | CONTEXT: The relevant table or query produces both case_barcode and weighted_avg_segment_mean, but GOLD only requires case_barcode. Including extra columns leads to output mismatch. | WHEN_TO_CHECK: When selecting columns for final output, especially when GOLD result specifies only a subset of columns | EXAMPLE_USAGE: If the intermediate results include both SELECT case_barcode, weighted_avg_segment_mean FROM ..., verify that the final output uses SELECT case_barcode FROM ...; removing weighted_avg_segment_mean ensures correct output."
51,sf_bq182,GITHUB_REPOS_DATE,generic,from;where;partition,all,all,all,all,"VERIFY: selected data source (table/schema/partition) matches the query's required time granularity | PRINCIPLE: When databases have multiple partitioning schemes (e.g., monthly and daily tables), using the wrong partition can include excess data or miss required rows; match table selection to the intended time range | WHEN_TO_APPLY: When queries involve time-specific event data and multiple partitioned tables exist | EXAMPLE_USAGE: If analyzing events for a specific day, use the daily partitioned table rather than the monthly partition plus WHERE date = X; e.g., 'FROM Db.Day._YYYYMMDD' is correct, while 'FROM Db.Month._YYYYMM WHERE event_date = YYYY-MM-DD' may be inefficient or subtly incorrect."
52,sf_bq182,GITHUB_REPOS_DATE,generic,where;count;filter,all,all,all,all,"CHECK: filtered event count thresholds in WHERE clauses reflect the question logic and expected output | PRINCIPLE: Hard-coded numeric thresholds in filters (e.g., event_count >= X) directly control which results appear; mismatched thresholds produce unexpected results | WHEN_TO_APPLY: Whenever a query requires at least/minimum N events or items per group | EXAMPLE_USAGE: When a question asks for entities with at least N instances (e.g., presentations, releases, PRs), verify the WHERE clause uses 'X >= N' with the correct N specified; e.g., 'WHERE event_count >= 5' for a ""min 5"" requirement, not 'WHERE event_count >= 100', which can filter out most of the expected results."
53,sf_bq182,GITHUB_REPOS_DATE,db,from,GITHUB_REPOS_DATE.DAY._20230118,all,all,all,"ENSURE: use GITHUB_REPOS_DATE.DAY._20230118 as the data source for PR events targeting January 18, 2023 | CONTEXT: The database contains event data partitioned both by month and by day in the GITHUB_REPOS_DATE schema; for single-day PR event queries, the correct table is GITHUB_REPOS_DATE.DAY._20230118 | WHEN_TO_CHECK: When querying PR events for only January 18, 2023 | EXAMPLE_USAGE: When counting PR events for 2023-01-18, verify the FROM clause is 'GITHUB_REPOS_DATE.DAY._20230118' rather than 'GITHUB_REPOS_DATE.MONTH._202301' with an added date filter; using the latter risks including data outside the intended day and requires extra filtering."
54,sf_bq182,GITHUB_REPOS_DATE,db,where;count;filter,all,all,all,all,"ENSURE: update event count thresholds in WHERE clauses to match question requirements; for this query, the correct PR event count threshold is >= 5 | CONTEXT: The results depend on the event count threshold in the WHERE clause; using a threshold of 100 omits valid results, while a threshold of 5 matches the GOLD standard | WHEN_TO_CHECK: When specifying minimum PR event counts in filtering statements | EXAMPLE_USAGE: When filtering repositories with at least 5 PR events, ensure the condition is 'WHERE pr_event_count >= 5' rather than 'WHERE pr_event_count >= 100', which would incorrectly reduce the result set."
55,sf_bq213,PATENTS,generic,select,all,all,all,all,"VERIFY: The number of columns in the SELECT clause exactly matches the expected output structure | PRINCIPLE: Output should not contain extra columns beyond what is required in the final result set | WHEN_TO_APPLY: Whenever constructing the final SELECT statement, especially after intermediate calculations or aggregations | EXAMPLE_USAGE: If expected output has one column (e.g., only 'category'), verify that the final SELECT clause is like 'SELECT category FROM ...' not 'SELECT category, count FROM ...', which would produce an incorrect column count."
56,sf_bq213,PATENTS,db,where;group by;order by;limit;select;substr;count,top_ipc4,top_ipc4.ipc4,str,all,"ENSURE: Only include the ipc4 column in the final SELECT when output requirements specify single-column results | CONTEXT: The top_ipc4 table was selected with both ipc4 and n_pubs columns, but only ipc4 was needed for the correct output | WHEN_TO_CHECK: When the question requires only ipc4 in the result, after any ranking/filtering is applied | EXAMPLE_USAGE: If you have 'SELECT ipc4, n_pubs FROM top_ipc4 WHERE rn = 1', verify that you rewrite this as 'SELECT ipc4 FROM top_ipc4 WHERE rn = 1' to match single-column output requirements."
57,sf_bq246,PATENTSVIEW,generic,aggregation;filter,all,all,all,all,"VERIFY: CTE logic matches expected citation direction and filtering semantics | PRINCIPLE: CTE definitions for aggregations or filtering (such as forward/backward links) must mirror the business logic, especially when directionality or temporal windows matter | WHEN_TO_APPLY: Whenever creating CTEs for directional relationships, aggregation, or time-sensitive filtering | EXAMPLE_USAGE: When defining CTEs for forward/backward relations, ensure the logic aligns with the required temporal precedence (e.g., a forwards CTE for citations should have cited_date > citing_date), rather than applying a generic filter or using only one date."
58,sf_bq246,PATENTSVIEW,generic,join,all,all,all,all,"ENSURE: Final query joins outputs from CTEs on all key identifiers required to restrict to intersection of interest | PRINCIPLE: When multiple CTEs yield subsets that should be intersected (e.g., patents with both forward and backward citations), join on all relevant keys to obtain only records present in both subsets | WHEN_TO_APPLY: Whenever combining results from distinct filtered subsets | EXAMPLE_USAGE: When joining results from forward and backward citation CTEs, use 'ON a.key = b.key' to require presence in both; simply selecting from one CTE or failing to join can yield superfluous or irrelevant records."
59,sf_bq246,PATENTSVIEW,generic,order by;limit;aggregation;desc,all,all,all,all,"CHECK: Ranking and LIMIT logic matches reporting requirements (e.g., top N or most cited entity) | PRINCIPLE: The output should reflect the reporting spec (such as 'most cited', 'latest', 'top N'), requiring explicit ORDER BY and LIMIT clauses on the correct aggregation metric | WHEN_TO_APPLY: Whenever the result should be limited to most, newest, or top entries | EXAMPLE_USAGE: When expected to show the most cited entity, verify that 'ORDER BY citation_count DESC LIMIT 1' (or the required N) is present; omitting the ORDER BY or using the wrong column will select a random result rather than the intended entry."
60,sf_bq246,PATENTSVIEW,db,join;where;filter,USPATENTCITATION,all,all,all,"ENSURE: citation direction (forward vs backward) is determined using USPATENTCITATION and APPLICATION tables with correct date windows and country filters | CONTEXT: Correct identification of forward and backward patent citations relies on matching APPLICATION.country to 'US' and USPATENTCITATION.date to the appropriate time window for each citation direction | WHEN_TO_CHECK: When constructing CTEs for forward or backward patent citations | EXAMPLE_USAGE: For backward citations, filter USPATENTCITATION where citing patent’s application date is after cited patent’s application date and country is 'US'; for forward citations, reverse the date logic. Incorrectly applying date windows or omitting the country filter leads to wrong citation counts."
61,sf_bq246,PATENTSVIEW,db,join,all,patent_id,int,all,ENSURE: final SELECT only joins patents present in BOTH forward and backward citation CTEs on patent_id | CONTEXT: Only patents with both types of citations should be reported; joining on patent_id ensures the correct intersection | WHEN_TO_CHECK: When aggregating or ranking patents by citation counts and reporting results combining both forward and backward citation metrics | EXAMPLE_USAGE: Use 'FROM bkwd JOIN fwrd ON bkwd.patent_id = fwrd.patent_id' to ensure only patents with both citation types are included; missing this join would allow patents with only one citation direction to appear incorrectly.
62,sf_bq246,PATENTSVIEW,db,order by;aggregation;limit;desc,all,bkwdCitations_3,int,all,"REMEMBER: Sort by backward citation count descending for reporting highly cited patents, limiting to top result(s) | CONTEXT: Ranking patents by number of backward citations (bkwdCitations_3) is needed to find the most influential patents for a query | WHEN_TO_CHECK: When reporting top-cited patents or summarizing citation influence | EXAMPLE_USAGE: Use 'ORDER BY bkwd.bkwdCitations_3 DESC LIMIT 1' for correct ranking; omitting the ORDER BY or using the wrong column would select incorrect patents."
63,sf_bq246,PATENTSVIEW,db,join;group by;distinct;aggregation;left join,PATENT,patent_id,int,No,"ENSURE: Include a GROUP BY clause to eliminate duplicate patent rows when joining to multi-row tables like CPC_CURRENT | CONTEXT: The patent_id may appear multiple times due to one-to-many relationships with tables such as CPC_CURRENT. Without proper grouping, the result contains duplicate rows for each patent. | WHEN_TO_CHECK: When producing queries that join patents to classification/taxonomy tables (e.g., CPC_CURRENT), and the output should be unique per patent_id (and columns like title, abstract, pub_date, backward_citations, forward_citations_5y) | EXAMPLE_USAGE: After performing JOINs that may expand patent_id due to multiple classification records, use 'GROUP BY patent_id, title, abstract, pub_date, backward_citations, forward_citations_5y' in the final SELECT. Omitting the GROUP BY (just using SELECT ...) leads to duplicates; adding GROUP BY ensures one row per patent."
64,sf_bq252,GITHUB_REPOS,generic,join,all,all,all,all,"VERIFY: that JOIN clauses use the correct key columns from both tables, especially when tables have distinct primary keys | PRINCIPLE: Accurate joining relies on matching the actual key fields that link records; incorrect columns or missing keys result in misaligned or incomplete data | WHEN_TO_APPLY: Whenever joining two tables representing linked but distinct entities (e.g., metadata and content) | EXAMPLE_USAGE: If Table A has 'a.id' and Table B has 'b.id', the JOIN should use 'ON a.id = b.id'. Using other columns like 'a.name = b.name' or an ambiguous key can cause erroneous joins."
65,sf_bq252,GITHUB_REPOS,generic,filter;where;like,all,all,all,all,"ENSURE: that filtering conditions reference the correct columns from the table holding the filtered attribute, especially after JOINs | PRINCIPLE: Filters must be applied to the column that actually contains the relevant attribute, not a similarly named column from another table | WHEN_TO_APPLY: Whenever applying WHERE clauses in queries involving multiple tables | EXAMPLE_USAGE: If filtering by a file path extension, use the file metadata table's ""path"" column ('WHERE f.path LIKE '%.swift''), rather than a possibly mismatched or duplicated column in another table ('WHERE c.sample_path LIKE '%.swift'')."
66,sf_bq252,GITHUB_REPOS,generic,join;select,all,all,all,all,"CHECK: output columns in the SELECT clause reference the correct source table and column, especially after renaming/joining | PRINCIPLE: The final output should pull the intended data from the authoritative table, using correct aliases after table merges | WHEN_TO_APPLY: When mapping output column names after joins or table renames | EXAMPLE_USAGE: If the expected output is repository name, ensure 'SELECT f.repo_name AS output' draws from the correct joined table, not 'SELECT c.sample_repo_name', which may not contain the canonical data."
67,sf_bq252,GITHUB_REPOS,db,join;where;filter;order by;limit,GITHUB_REPOS.GITHUB_REPOS.SAMPLE_CONTENTS,GITHUB_REPOS.GITHUB_REPOS.SAMPLE_CONTENTS.id,int,all,"ENSURE: when joining GITHUB_REPOS.GITHUB_REPOS.SAMPLE_CONTENTS and GITHUB_REPOS.GITHUB_REPOS.SAMPLE_FILES, join on the ""id"" column and select ""repo_name"" and ""path"" from SAMPLE_FILES for accurate identification | CONTEXT: The SAMPLE_CONTENTS and SAMPLE_FILES tables are linked by the ""id"" key, and selecting the correct columns (especially ""repo_name"" and ""path"" from SAMPLE_FILES) ensures the retrieved data reflects actual repository and file details | WHEN_TO_CHECK: When constructing queries that relate file content to repository/file metadata, especially when the file path or repo name is used for filtering or output | EXAMPLE_USAGE: When joining SAMPLE_CONTENTS c to SAMPLE_FILES f, verify the join uses 'ON c.id = f.id' and the SELECT uses 'f.repo_name, f.path'. A wrong join (e.g., 'ON c.sample_id = f.sample_id') or selecting c.sample_repo_name/c.sample_path will produce incorrect mappings and output."
68,sf_bq252,GITHUB_REPOS,db,filter;where;like,GITHUB_REPOS.GITHUB_REPOS.SAMPLE_FILES,GITHUB_REPOS.GITHUB_REPOS.SAMPLE_FILES.path,str,all,"ENSURE: when filtering for Swift files, apply the WHERE clause to the ""path"" column in SAMPLE_FILES (i.e., f.""path"" LIKE '%.swift') | CONTEXT: The file type can only be correctly identified by inspecting the actual path name in SAMPLE_FILES, as ""sample_path"" in SAMPLE_CONTENTS may not reflect the real file extension | WHEN_TO_CHECK: When filtering queries to return only files of a certain type/extension like '.swift' | EXAMPLE_USAGE: Use 'WHERE f.""path"" LIKE '%.swift'' to filter Swift files, not 'WHERE c.""sample_path"" LIKE '%.swift'' which may miss or error in the filtering."
69,sf_bq252,all,generic,aggregation;array_agg;array_sort;array_to_string;cte_definition,all,all,all,all,"ENSURE: When aggregating values into arrays for final output, perform the aggregation (e.g., ARRAY_AGG) in a CTE first, then apply sorting/formatting functions (e.g., ARRAY_SORT, ARRAY_TO_STRING) in the final SELECT that references the CTE | PRINCIPLE: Attempting to perform ARRAY_AGG with inline ORDER BY or DISTINCT inside ARRAY_TO_STRING can cause syntax errors or incorrect results; separating aggregation (in CTE) from transformation (in final SELECT) ensures correct execution and allows reuse of aggregated data | WHEN_TO_APPLY: When building queries that aggregate multiple values per entity into arrays and need to sort or format them as strings | EXAMPLE_USAGE: Instead of 'SELECT ARRAY_TO_STRING(ARRAY_AGG(DISTINCT language ORDER BY language), ',') FROM ...', use a CTE pattern: 'WITH aggregated AS (SELECT entity_id, ARRAY_AGG(DISTINCT language) as languages FROM ... GROUP BY entity_id) SELECT entity_id, ARRAY_TO_STRING(ARRAY_SORT(languages), ', ') FROM aggregated'. The CTE handles aggregation, the final SELECT handles sorting and formatting. Correct: Use CTE for ARRAY_AGG, then ARRAY_SORT in final SELECT; Incorrect: Inline ARRAY_AGG with ORDER BY inside ARRAY_TO_STRING."
70,sf_bq264,THELOOK_ECOMMERCE,generic,where;filter;to_timestamp;extract;date_cast;timestamp,all,all,date,all,"VERIFY: timestamp conversions accurately reflect source units (seconds/milliseconds/microseconds) | PRINCIPLE: Many databases store timestamps in non-standard units (e.g., microseconds, milliseconds). Converting to correct units before using date functions ensures correct time filtering and avoids record misalignment | WHEN_TO_APPLY: Whenever using date/time functions (e.g., TO_TIMESTAMP, EXTRACT) with columns whose units are not standard seconds | EXAMPLE_USAGE: When a column represents epoch time in microseconds, always divide by 1,000,000 before passing to TO_TIMESTAMP. Correct: 'TO_TIMESTAMP(column / 1000000.0)'; Incorrect: 'TO_TIMESTAMP(column)' (if column is microseconds, this will produce wildly incorrect timestamps and filtering)."
71,sf_bq264,THELOOK_ECOMMERCE,generic,where;filter;between;to_timestamp;date_cast,all,all,date,all,"ENSURE: BETWEEN logic in date filters matches timestamp values exactly without rounding errors | PRINCIPLE: Filtering rows using BETWEEN for time ranges requires ensuring values used for comparison are correctly normalized, especially after conversions | WHEN_TO_APPLY: When filtering on timestamp ranges with BETWEEN | EXAMPLE_USAGE: After converting the timestamp value to the proper unit, use 'BETWEEN TO_TIMESTAMP(start) AND TO_TIMESTAMP(end)' to ensure only the records in that range are returned; skipping conversion or using mismatched units may miss or mistakenly include records outside the intended range."
72,sf_bq264,THELOOK_ECOMMERCE,db,where;filter;between;to_timestamp;date_cast,THELOOK_ECOMMERCE.THELOOK_ECOMMERCE.USERS,THELOOK_ECOMMERCE.THELOOK_ECOMMERCE.USERS.created_at,date,all,"ENSURE: when filtering by ""created_at"" timestamp, convert microseconds to seconds by dividing ""created_at"" by 1,000,000.0 before passing to TO_TIMESTAMP | CONTEXT: The ""created_at"" values in this database are stored in microseconds; direct use with TO_TIMESTAMP without this conversion results in incorrect datetime filtering and record counts | WHEN_TO_CHECK: Whenever applying date range filters on the ""created_at"" column | EXAMPLE_USAGE: To retrieve rows created in a date range, use 'TO_TIMESTAMP(""created_at"" / 1000000.0) BETWEEN TO_TIMESTAMP('start') AND TO_TIMESTAMP('end')' instead of 'TO_TIMESTAMP(""created_at"") BETWEEN ...', which would give wrong times and counts."
73,sf_bq273,THELOOK_ECOMMERCE,generic,join;aggregation,all,all,all,all,"ENSURE: cost value sources match the product/item relationship in business logic | PRINCIPLE: Profit or cost calculations should use cost fields from the product table referenced by order/item lines, not from unrelated inventory tables | WHEN_TO_APPLY: When calculating financial metrics involving products, items, or inventory | EXAMPLE_USAGE: If an order line references ""product_id"", verify cost comes from PRODUCTS.""cost"" via 'JOIN PRODUCTS ON order_line.""product_id"" = PRODUCTS.""id""'. Using inventory cost without confirming this relationship risks miscalculating profits."
74,sf_bq273,THELOOK_ECOMMERCE,generic,filter;date_cast,all,all,all,all,"VERIFY: date range filters are compatible with the datetime formats of source columns | PRINCIPLE: Date filters must convert timestamps appropriately to match desired date ranges; using raw timestamp fields may cause misaligned results | WHEN_TO_APPLY: Whenever filtering between dates on timestamped data | EXAMPLE_USAGE: If source dates are in Unix timestamp format, convert using functions like TO_TIMESTAMP_NTZ before comparing to date strings. For example, 'WHERE TO_TIMESTAMP_NTZ(source.""created_at"" / 1000000) BETWEEN TO_TIMESTAMP_NTZ('start_date') AND TO_TIMESTAMP_NTZ('end_date')' is correct; direct comparison without conversion is incorrect."
75,sf_bq273,THELOOK_ECOMMERCE,generic,left join;aggregation;date_cast,all,all,all,all,"VERIFY: when comparing aggregates month over month, match current month value to exactly one prior month using date arithmetic | PRINCIPLE: MoM comparisons require accurate alignment of current and previous time windows, typically using date adjustment functions | WHEN_TO_APPLY: When creating month-over-month metrics | EXAMPLE_USAGE: Use a LEFT JOIN with 'ON current.month = DATEADD(MONTH, -1, prior.month)' to ensure each current month compares only to its immediate predecessor. Avoid joining on mismatched or unrelated date values."
76,sf_bq273,THELOOK_ECOMMERCE,generic,aggregation;group by,all,all,all,all,"CHECK: aggregate grouping keys include only relevant dimensions when a single filter applies | PRINCIPLE: If the analysis is limited to one dimension (e.g., only one traffic source), grouping by additional keys is unnecessary and can create miscounted results | WHEN_TO_APPLY: Whenever grouping query results by time, category, or dimension | EXAMPLE_USAGE: For metrics on Facebook traffic only, use 'GROUP BY month' instead of 'GROUP BY month, traffic_source'. The latter can introduce duplicate or meaningless groups when only one source exists."
77,sf_bq273,THELOOK_ECOMMERCE,generic,aggregation;coalesce,all,all,all,Yes,"ENSURE: use COALESCE (or other default-value functions) when calculating differences between aggregates to handle NULLs gracefully | PRINCIPLE: Subtraction involving NULLs returns NULL, which can obscure results; COALESCE sets a default value where needed | WHEN_TO_APPLY: When calculating change metrics, especially first or partial periods | EXAMPLE_USAGE: For 'profit_difference = COALESCE(curr.profit - prev.profit, 0)', the use of COALESCE ensures a valid numeric output even when no previous value exists. Omitting it results in NULLs that disrupt analysis."
78,sf_bq273,THELOOK_ECOMMERCE,db,join;aggregation,PRODUCTS,PRODUCTS.cost,numeric,all,"ENSURE: profit calculations use PRODUCTS.""cost"" joined through ORDER_ITEMS.""product_id"" and PRODUCTS.""id"" rather than INVENTORY_ITEMS.""cost"" or ORDER_ITEMS.""inventory_item_id"" | CONTEXT: ORDER_ITEMS links to PRODUCTS via ""product_id"", and PRODUCTS contains the correct ""cost"" for profit calculations; using INVENTORY_ITEMS can result in inaccurate profit figures | WHEN_TO_CHECK: When calculating order profit using cost values | EXAMPLE_USAGE: When calculating profit per order, verify that you use 'JOIN PRODUCTS ON ORDER_ITEMS.""product_id"" = PRODUCTS.""id""' and 'PRODUCTS.""cost""' in your profit formula. Using 'JOIN INVENTORY_ITEMS ON ORDER_ITEMS.""inventory_item_id"" = INVENTORY_ITEMS.""id""' and 'INVENTORY_ITEMS.""cost""' is incorrect, as this doesn't match the appropriate product cost."
79,sf_bq273,THELOOK_ECOMMERCE,db,filter;date_cast,ORDERS,ORDERS.created_at,date,all,"ENSURE: date filters on orders use TO_TIMESTAMP_NTZ for proper timestamp conversion and range definitions | CONTEXT: Orders' ""created_at"" values are Unix timestamps, requiring division and conversion to match date filters accurately | WHEN_TO_CHECK: When selecting orders within a specific date range | EXAMPLE_USAGE: To filter for July–November 2022 orders, use 'TO_TIMESTAMP_NTZ(orders.""created_at"" / 1000000) BETWEEN TO_TIMESTAMP_NTZ('2022-07-01') AND TO_TIMESTAMP_NTZ('2023-11-30')'. Filtering without conversion, such as 'orders.""created_at"" BETWEEN ...', will not match expected dates due to format mismatch."
80,sf_bq273,THELOOK_ECOMMERCE,db,left join;aggregation;date_cast,monthly_sales,monthly_sales.delivery_month,date,all,"REMEMBER: month-over-month comparisons should use LEFT JOIN with DATEADD(MONTH, -1, prev.""delivery_month"") to align current and prior months | CONTEXT: Comparing monthly aggregates requires matching derived current month with the exact prior month | WHEN_TO_CHECK: When joining monthly aggregates for MoM comparison | EXAMPLE_USAGE: To compare August profits to July, use 'LEFT JOIN monthly_profits prev ON curr.""delivery_month"" = DATEADD(MONTH, -1, prev.""delivery_month"")'. Do not join on mismatched or absolute month numbers."
81,sf_bq273,THELOOK_ECOMMERCE,db,aggregation;group by,monthly_sales,monthly_sales.delivery_month,date,all,"ENSURE: monthly profit aggregation excludes GROUP BY on traffic_source when analyzing a single source | CONTEXT: Including traffic_source in grouping for Facebook-only results creates redundant or incorrect groupings | WHEN_TO_CHECK: When aggregating profits by month for a specific traffic source | EXAMPLE_USAGE: Use 'GROUP BY delivery_month' when the traffic_source is fixed (e.g., only Facebook). Grouping by both 'delivery_month, traffic_source' can produce duplicate or unintended results."
82,sf_bq273,THELOOK_ECOMMERCE,db,aggregation;coalesce,monthly_sales,monthly_sales.total_profit,numeric,Yes,"VERIFY: COALESCE is applied to MoM profit difference computation to handle NULLs for initial or missing prior months | CONTEXT: Profit difference may be NULL when a previous month does not exist; COALESCE ensures a default value of 0 | WHEN_TO_CHECK: When calculating month-over-month profit changes | EXAMPLE_USAGE: Use 'COALESCE(curr.""profit"" - prev.""profit"", 0)' in SELECT for MoM difference. Omitting COALESCE ('curr.""profit"" - prev.""profit""') leaves initial month results as NULL, which leads to unclear output."
83,sf_bq273,THELOOK_ECOMMERCE,db,date_trunc;to_date;to_timestamp;to_char,all,all,all,all,"VERIFY: use DATE_TRUNC('MONTH', TO_DATE(TO_TIMESTAMP_NTZ(""created_at""/1000000))) for monthly grouping of order activity from ""created_at"" epoch in order_details | CONTEXT: To consistently report or group by month using the order_details ""created_at"" timestamp, proper transformation and truncation functions are required to align with expected time reporting granularity | WHEN_TO_CHECK: When extracting or grouping by month from ""created_at"" in order_details | EXAMPLE_USAGE: Correct: 'SELECT DATE_TRUNC('MONTH', TO_DATE(TO_TIMESTAMP_NTZ(""created_at""/1000000))) AS reporting_month FROM order_details'; Incorrect: 'SELECT TO_CHAR(TO_TIMESTAMP_NTZ(""created_at""/1000000), 'YYYY-MM') AS order_month' creates a string which may not consistently match across downstream processing or grouping."
84,sf_bq273,all,generic,aggregation;sum;subtraction,all,all,all,all,"ENSURE: separate SUM aggregations before performing arithmetic operations in aggregate queries | PRINCIPLE: Arithmetic operations should be done after aggregation when calculating total metrics, rather than aggregating after row-wise calculations | WHEN_TO_APPLY: When designing queries for aggregate totals (e.g., profits, net balances) | EXAMPLE_USAGE: When calculating overall profit, use 'SUM(price) - SUM(cost)' rather than 'SUM(price - cost)'; the former aggregates totals accurately across all rows, while the latter may produce incorrect results if individual (price - cost) per row is not representative."
85,sf_bq273,all,generic,date_trunc;to_date;to_timestamp;to_char,all,all,all,all,"VERIFY: timestamp conversion and truncation functions match target reporting granularity for date grouping | PRINCIPLE: To ensure correct date-based grouping, verify that all timestamp conversions produce consistent date formats and use proper granularity (e.g., months, days) | WHEN_TO_APPLY: When grouping results by date/time periods | EXAMPLE_USAGE: If grouping by month, use 'DATE_TRUNC('MONTH', TO_DATE(timestamp_column))' rather than casting to string formats like 'TO_CHAR(timestamp_column, 'YYYY-MM')', as the latter can cause inconsistencies and unexpected results in groupings and further calculations."
